datum,kategorie,name,typ,strasse,hausnummer,plz,ort,lat,lon,oeffnungszeiten,website,osm_id,osm_typ
2026-03-01,Tourismus,Forstwirtschaftliche Nutzung,information,,,,Castrop-Rauxel,51.5379647,7.2967712,,,485762613,node
2026-03-01,Tourismus,Der Natur ein Stück zurückgeben,information,,,,Castrop-Rauxel,51.5385566,7.2965803,,,485762617,node
2026-03-01,Tourismus,Geologische Entstehungsgeschichte,information,,,,Castrop-Rauxel,51.5402103,7.3010852,,,485762619,node
2026-03-01,Tourismus,Ökologische Bedeutung von Obstwiesen,information,,,,Castrop-Rauxel,51.5403396,7.2964909,,,485762621,node
2026-03-01,Laden/Geschäft,Brinker,bakery,Am Landwehrbach,2c,44575,Castrop-Rauxel,51.5559393,7.2906886,Mo-Fr 05:30-19:00; Sa 05:30-18:30; Su 07:00-17:00,,495571093,node
2026-03-01,Gastronomie/Service,BoGi's Cafe,community_centre,Leonhardstraße,2,44575,Castrop-Rauxel,51.5472729,7.3103584,,,496130981,node
2026-03-01,Gastronomie/Service,Sparkasse Vest,bank,,,,Castrop-Rauxel,51.5849311,7.3137419,,,508068959,node
2026-03-01,Tourismus,Hotel Hubbert,hotel,,,,Castrop-Rauxel,51.5849678,7.315369,,,508068962,node
2026-03-01,Laden/Geschäft,Sondermann,bakery,Lange Straße,95-97,44579,Castrop-Rauxel,51.5853349,7.3159262,Mo-Fr 07:00-19:00; Sa 07:00-14:00; Su 08:00-11:00,,508068963,node
2026-03-01,Laden/Geschäft,PENNY,supermarket,Lange Straße,95-97,44579,Castrop-Rauxel,51.585325,7.3158427,Mo-Sa 07:00-20:00,,508068969,node
2026-03-01,Gastronomie/Service,–,baby_hatch,,,,Castrop-Rauxel,51.5467903,7.316531,,,510924513,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5465717,7.3155592,,,510924519,node
2026-03-01,Gastronomie/Service,–,post_box,Römerstraße,22,44579,Castrop-Rauxel,51.5890897,7.3070878,,,510924526,node
2026-03-01,Laden/Geschäft,Rewe,supermarket,Recklinghauser Straße,335,44579,Castrop-Rauxel,51.5926791,7.311218,Mo-Sa 06:00-22:00,,510924539,node
2026-03-01,Laden/Geschäft,Malzers,bakery,Recklinghauser Straße,335,44579,Castrop-Rauxel,51.5926657,7.3110083,Mo-Sa 06:30-21:00; Su 07:30-17:00,,510924545,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5690174,7.3182235,,,524699837,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5733183,7.3212367,,,524699838,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5714057,7.3298344,,,524699839,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5705227,7.333384,,,524699840,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5763001,7.3313233,,,524699841,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5582237,7.3314638,,,526483509,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5578179,7.3428959,,,526483516,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5612788,7.2874151,,,527501710,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5622221,7.2855842,,,527501714,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5607523,7.2897992,,,527501715,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5630228,7.2921886,,,527501717,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5653549,7.2877229,,,527501719,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5452337,7.338659,,,528390424,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5482467,7.3399336,,,528390426,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5463418,7.3240957,,,532750867,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5463318,7.3241327,,,532750871,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5507451,7.3217698,,,532750878,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5545104,7.3424902,,,533704176,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5638818,7.3033818,,,534001165,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5600851,7.2944701,,,536247139,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5629959,7.292204,,,536263187,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5653397,7.2876816,,,536263189,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5348992,7.3175689,,,551860966,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5354844,7.3181172,,,551860993,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5452668,7.3386813,,,552556975,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5497177,7.3208687,,,558678828,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5497037,7.3208668,,,558678829,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5495858,7.3215802,,,558678830,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5495708,7.3216082,,,558678831,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5497466,7.32235,,,558678832,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.5503353,7.3211096,,,558678833,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.550329,7.3211426,,,558678834,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5502419,7.3219712,,,558678835,node
